Ticker,city,state,country,industry,sector,fullTimeEmployees,exchange,shortName,longName
ADSK,San Francisco,CA,United States,Software - Application,Technology,13700,NMS,"Autodesk, Inc.","Autodesk, Inc."
AZO,Memphis,TN,United States,Specialty Retail,Consumer Cyclical,,NYQ,"AutoZone, Inc.","AutoZone, Inc."
AVB,Arlington,VA,United States,REIT - Residential,Real Estate,2859,NYQ,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc."
AVY,Mentor,OH,United States,Packaging & Containers,Consumer Cyclical,2900,NYQ,Avery Dennison Corporation,Avery Dennison Corporation
AXON,Scottsdale,AZ,United States,Aerospace & Defense,Industrials,2821,NMS,"Axon Enterprise, Inc.","Axon Enterprise, Inc."
BKR,Houston,TX,United States,Oil & Gas Equipment & Services,Energy,57000,NMS,Baker Hughes Company,Baker Hughes Company
BALL,Westminster,CO,United States,Packaging & Containers,Consumer Cyclical,21000,NYQ,Ball Corporation,Ball Corporation
BAC,Charlotte,NC,United States,Banks - Diversified,Financial Services,212752,NYQ,Bank of America Corporation,Bank of America Corporation
BBWI,Columbus,OH,United States,Specialty Retail,Consumer Cyclical,8800,NYQ,"Bath & Body Works, Inc.","Bath & Body Works, Inc."
BAX,Deerfield,IL,United States,Medical Instruments & Supplies,Healthcare,60000,NYQ,Baxter International Inc.,Baxter International Inc.
BDX,Franklin Lakes,NJ,United States,Medical Instruments & Supplies,Healthcare,77000,NYQ,"Becton, Dickinson and Company","Becton, Dickinson and Company"
WRB,Greenwich,CT,United States,Insurance - Property & Casualty,Financial Services,8186,NYQ,W.R. Berkley Corporation,W. R. Berkley Corporation
BRK-B,Omaha,NE,United States,Insurance - Diversified,Financial Services,383000,NYQ,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.
BBY,Richfield,MN,United States,Specialty Retail,Consumer Cyclical,52200,NYQ,"Best Buy Co., Inc.","Best Buy Co., Inc."
BIO,Hercules,CA,United States,Medical Devices,Healthcare,8200,NYQ,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc."
TECH,Minneapolis,MN,United States,Biotechnology,Healthcare,3050,NMS,Bio-Techne Corp,Bio-Techne Corporation
BIIB,Cambridge,MA,United States,Drug Manufacturers - General,Healthcare,8725,NMS,Biogen Inc.,Biogen Inc.
BLK,New York,NY,United States,Asset Management,Financial Services,19800,NYQ,"BlackRock, Inc.","BlackRock, Inc."
BX,New York,NY,United States,Asset Management,Financial Services,4695,NYQ,Blackstone Inc.,Blackstone Inc.
BK,New York,NY,United States,Asset Management,Financial Services,53600,NYQ,The Bank of New York Mellon Cor,The Bank of New York Mellon Corporation
BA,Arlington,VA,United States,Aerospace & Defense,Industrials,156000,NYQ,Boeing Company (The),The Boeing Company
BKNG,Norwalk,CT,United States,Travel Services,Consumer Cyclical,23100,NMS,Booking Holdings Inc. Common St,Booking Holdings Inc.
BWA,Auburn Hills,MI,United States,Auto Parts,Consumer Cyclical,52700,NYQ,BorgWarner Inc.,BorgWarner Inc.
BXP,Boston,MA,United States,REIT - Office,Real Estate,780,NYQ,"Boston Properties, Inc.","Boston Properties, Inc."
BSX,Marlborough,MA,United States,Medical Devices,Healthcare,45000,NYQ,Boston Scientific Corporation,Boston Scientific Corporation
BMY,New York,NY,United States,Drug Manufacturers - General,Healthcare,34300,NYQ,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company
AVGO,San Jose,CA,United States,Semiconductors,Technology,20000,NMS,Broadcom Inc.,Broadcom Inc.
BR,Lake Success,NY,United States,Information Technology Services,Technology,14700,NYQ,"Broadridge Financial Solutions,","Broadridge Financial Solutions, Inc."
BRO,Daytona Beach,FL,United States,Insurance Brokers,Financial Services,15201,NYQ,"Brown & Brown, Inc.","Brown & Brown, Inc."
BF-B,Louisville,KY,United States,Beverages - Wineries & Distilleries,Consumer Defensive,5600,NYQ,Brown Forman Inc,Brown-Forman Corporation
BG,Saint Louis,MO,United States,Farm Products,Consumer Defensive,23000,NYQ,Bunge Limited Bunge Limited,Bunge Limited
